model,direction,side,dataset,layer,normalized_depth,scope,rho,mer,pier,mer_gain,pier_gain,matrix_retention,embedded_retention,poi_corrections,poi_corruptions,poi_net_utility,total_intervention_energy,edited_positions_or_frames,mean_intervention_norm,mean_perturbation_norm,original_hidden_norm,relative_perturbation,edited_fraction,path
whisper,Conditioning,decoder,cs_dialogue,0,0.0,global,0.5,0.27677775797540544,0.4488536155202822,-0.014317115190399798,0.021164021164021163,0.9506610213427806,0.9708818635607321,83,35,48,15507.088350176811,13908,1.1149761540247922,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L00/conditioning_decoder_L0_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,0,0.0,oracle_local,0.5,0.2537872037070041,0.4660493827160494,0.008673439078001555,0.003968253968253954,0.9839281085284715,0.9758735440931781,38,29,9,2006.1132797598839,1804,1.1120361861196695,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L00/conditioning_decoder_L0_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,1,0.03225806451612903,global,0.5,0.2730945167231034,0.4810405643738977,-0.010633873938097782,-0.011022927689594342,0.9860019009764106,0.9550748752079867,29,54,-25,24273.829433321953,13773,1.7624213630524905,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L01/conditioning_decoder_L1_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,1,0.03225806451612903,oracle_local,0.5,0.26976771817263706,0.4876543209876543,-0.007307075387631423,-0.01763668430335097,0.9936922146375183,0.9450915141430949,26,66,-40,3204.929928779602,1822,1.7590175240283217,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L01/conditioning_decoder_L1_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,2,0.06451612903225806,global,0.5,0.252420840016634,0.4739858906525573,0.01003980276837163,-0.003968253968253954,0.986952389181716,0.9584026622296173,41,50,-9,27303.349781632423,13836,1.9733557228702243,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L02/conditioning_decoder_L2_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,2,0.06451612903225806,oracle_local,0.5,0.2650745559318006,0.48148148148148145,-0.0026139131467949883,-0.011463844797178102,0.9912727901149226,0.9667221297836939,14,40,-26,3596.6828503608704,1826,1.9697058326182204,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L02/conditioning_decoder_L2_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,3,0.0967741935483871,global,0.5,0.24921285570011287,0.4792768959435626,0.01324778708489277,-0.009259259259259245,0.9880756934243498,0.9467554076539102,43,64,-21,30188.972261428833,13883,2.174528002696019,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L03/conditioning_decoder_L3_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,3,0.0967741935483871,oracle_local,0.5,0.26703499079189685,0.4898589065255732,-0.004574348006891216,-0.019841269841269826,0.9907543420029379,0.9500831946755408,15,60,-45,3992.9759707450867,1826,2.1867338284474735,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L03/conditioning_decoder_L3_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,4,0.12903225806451613,global,0.5,0.2612725004455534,0.49514991181657847,0.0011881423394522472,-0.025132275132275117,0.9883349174803422,0.910981697171381,50,107,-57,31759.378614664078,14017,2.2657757447859086,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L04/conditioning_decoder_L4_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,4,0.12903225806451613,oracle_local,0.5,0.2729757024891582,0.5008818342151675,-0.010515059704152563,-0.030864197530864168,0.9919640542642357,0.9226289517470881,23,93,-70,4174.449857473373,1833,2.27738671984363,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L04/conditioning_decoder_L4_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,5,0.16129032258064516,global,0.5,0.26430226341115665,0.5035273368606702,-0.0018416206261510082,-0.03350970017636684,0.986261125032403,0.8935108153078203,52,128,-76,32978.64095759392,13993,2.356795609061239,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L05/conditioning_decoder_L5_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,5,0.16129032258064516,oracle_local,0.5,0.27356977365888435,0.5008818342151675,-0.011109130873878714,-0.030864197530864168,0.994124254730839,0.9267886855241264,18,88,-70,4318.550022363663,1821,2.3715266459987165,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L05/conditioning_decoder_L5_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,6,0.1935483870967742,global,0.5,0.2767183508584328,0.5185185185185185,-0.014257708073427189,-0.04850088183421514,0.9851378207897693,0.8718801996672213,44,154,-110,34032.74277925491,13767,2.4720522103039815,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L06/conditioning_decoder_L6_global_rho0.5.json
